Model,Refrigerant,Base Price,New Price,Model Number
5 TON XV18 GAS HEAT HVAC VARIABLE SPEED SYSTEM,R454B,"$12,900.00",13670,Condenser: 5TTV8X60A1000A; Furnace: S8V2C100U5PSBD; Coil: 5TXCC009; Thermostat: TLINK360A2VVUE
5 TON 20 SEER XV20 VARIABLE SPEED HVAC SYSTEM,R454B,"$13,900.00",14730,Condenser: 5TTV0X60; Furnace: S9V2C100M5PCA; Coil: 5TXCC009; Thermostat: TLINK360A2VVUE
5 TON 15.2 SEER2 HVAC SYSTEM,R454B,"$8,800.00",9330,Condenser: 5TTR5060J1000; Furnace: S8X1C100M5PSA; Coil: 5TXCC009
5 TON 15.2 SEER2 WITHOUT FURNACE,R454B,"$5,900.00",6250,Condenser: 5TTR5060J1000; Coil: 5TXCC009
5 TON 14.2 SEER2,R454B,"$8,200.00",8690,Condenser: 5TTR4060N100; Furnace: S8B1C100M; Coil: 5TXCC009
5 TON 14.2 SEER2 WITHOUT FURNACE,R454B,"$5,300.00",5620,Condenser: 5TTR4060N100; Coil: 5TXCC009
4 TON 18 SEER XV18 VARIABLE SPEED HVAC SYSTEM,R454B,"$12,100.00",12830,Condenser: 5TTV8X60A1000A; Furnace: S8V2C080U5PSBD; Coil: 5TXCC009; Thermostat: TLINK360A2VVUE
4 TON XV20 VARIABLE SPEED,R454B,"$13,100.00",13890,Condenser: 5TTV8X60A1000A; Coil: 5TXCC009; Thermostat: TLINK360A2VVUE
4 TON 15.2 SEER2 HVAC SYSTEM,R454B,"$8,200.00",8690,Condenser: 5TTR5048J1000; Furnace: S8X1C080M5PSA; Coil: 5TXCC009
4 TON 15.2 SEER2 WITHOUT FURNACE,R454B,"$5,500.00",5830,Condenser: 5TTR5048J1000; Coil: 5TXCC009
4 TON 14.2 SEER2,R454B,"$7,600.00",8060,Condenser: 5TTR4048N100; Furnace: S8B1C080M; Coil: 5TXCC007
4 TON WITHOUT FURNACE 14.2 SEER,R454B,"$5,100.00",5410,Condenser: 5TTR4048N100; Coil: 5TXCC007
3.5 TON 15.2 SEER2,R454B,"$7,300.00",7740,Condenser: 5TTR5042N100; Furnace: S8X1C80M4PSCC; Coil: 5TXCC007
3.5 TON 15.2 SEER2 WITHOUT FURNACE,R454B,"$5,200.00",5510,Condenser: 5TTR5042N100; Coil: 5TXCC007
3.5 TON 14.2 SEER2,R454B,"$7,300.00",7740,Condenser: 5TTR4042N100; Furnace: S8B1B80M4PSCC; Coil: 5TXCC00
3.5 TON 14.2 SEER2 WITHOUT FURNACE,R454B,"$5,000.00",5300,Condenser: 5TTR4042N100; Coil: 5TXCC00
4TTV7X 17 SEER2 Variable Speed AC (4 TON),R410A,"$11,200.00",11870,Condenser: 4TTV7X48A1000; Furnace: S8V2C080U5PSBD; Coil: 4TXCC009; Thermostat: TLINK360A2VVUE
XL17i Split Gas/AC Systems 2 stage (4TON),R454B,"$10,800.00",11450,Condenser: 5TTX7060E1000; Furnace: S8X2C080U5PSBD; Coil: 5TXCC009
XL17i Split Gas/AC Systems 2 stage (5 TON),R454B,"$11,300.00",11980,Condenser: 5TTX7060E1000; Furnace: S8X2C080U5PSBD; Coil: 5TXCC009
XR17 Split Gas/AC Systems 2 STAGE (4 TON),R454B,"$10,200.00",10810,Condenser: 5TTR7048E1000; Furnace: S8X2C080U5PSBD; Coil: 5TXCC009
3 TON XV20 GAS HEAT HVAC VARIABLE SPEED SYSTEM,R454B,"$12,300.00",13040,Condenser: 5TTV0X36A1000; Furnace: S8V2C080U5PSBD; Coil: 5TXCB006; Thermostat: TLINK360A2VVUE
3 TON 18 SEER XV18 VARIABLE SPEED HVAC SYSTEM,R454B,"$11,400.00",12080,Condenser: 5TTV8X36A1000A; Furnace: S8V2C060U5PSBD; Coil: 5TXCB006; Thermostat: TLINK360A2VVUE
3 TON 4TTV7X 17 SEER2 Variable Speed AC,R410A,"$10,600.00",11240,Condenser: 4TTV7X36A1000; Furnace: S8V2C060U5PSBD; Coil: 4TXCB006; Thermostat: TLINK360A2VVUE
3 TON XL171 Split Gas/AC Systems 2 stage,R454B,"$10,000.00",10600,Condenser: 5TTX7036E1000; Furnace: S8X2C060U5PSBD; Coil: 5TXCB006
3 TON XR17 Split Gas/AC Systems 2 STAGE,R454B,"$9,200.00",9750,Condenser: 5TTR7036E1000; Furnace: S8X2C060U5PSBD; Coil: 5TXB006
3 TON 15.2 SEER2 HVAC SYSTEM,R454B,"$7,000.00",7420,Condenser: 5TTR5036J1000; Furnace: S8X1C060M3PSA; Coil: 5TXCC009
3 TON 14.3 SEER2 HVAC SYSTEM,R454B,"$6,500.00",6890,Condenser: 5TTR4036A10000; Furnace: S8X1C060M3PSA; Coil: 5TXCB004
3 TON 14.3 SEER2 HVAC SYSTEM WITHOUT FURNACE,R454B,"$4,500.00",4770,Condenser: 5TTR4036A10000; Coil: 5TXCB004
3 TON 15.2 SEER2 HVAC SYSTEM WITHOUT FURNACE,R454B,"$4,900.00",5190,Condenser: 5TTR5036J1000; Coil: 5TXCC009
Refrigerant 410A,R410A,"$0.00",40,Refrigerant 410A
Refrigerant R-22,R-22,"$0.00",70,Refrigerant R-22
Refrigerant R-454B,R454B,"$0.00",80,Refrigerant R-454B
Refrigerant R-134A,R134A,"$0.00",40,Refrigerant R-134A
